State/UT,SubCenters,PHCs,CHCs,ANM/Health_Worker_Female,Doctors,Specialists,Radiographers,Pharmacists,LabTechnicians,NursingStaff,Year,ANM_Vacent,ANM_Shortfall,Doctors_Vacent,Doctors_Shortfall,Specialists_Vacent,Specialists_Shortfall,Radiographers_Vacent,Radiographers_Shortfall,Pharmacists_Vacent,Pharmacists_Shortfall,LabTechnicians_Vacent,LabTechnicians_Shortfall,NursingStaff_Vacent,Nursing_Shortfall
Chhattisgarh,5205,792,170,6808,321,61,161,1003,844,2618,2019,456,76,423,404,519,618,9,9,133,16,189,151,468,*
Goa,219,24,5,250,56,5,7,41,30,135,2019,*,*,*,*,*,10,2,4,*,4,*,17,*,*
Gujarat,9166,1476,362,9168,2186,118,192,1675,1729,4218,2019,2457,1073,379,*,255,1379,222,222,308,287,314,347,670,944
Haryana,2604,379,115,4606,542,15,54,430,356,2110,2019,803,*,275,*,108,445,71,80,251,98,271,103,728,*
Himachal Pradesh,2089,586,87,1845,486,5,24,293,78,404,2019,617,992,251,93,*,319,12,59,212,138,191,601,216,917
Jharkhand,3848,298,171,6325,336,66,59,241,264,1190,2019,396,*,108,69,160,505,66,49,163,234,181,98,1025,600
Karnataka,9758,2127,198,8462,2111,465,167,1973,1469,3511,2019,4377,*,252,105,247,504,30,67,618,616,197,640,*,*
Kerala,5380,848,227,7504,1531,35,0,1299,372,2427,2019,277,277,209,*,19,671,4,199,116,221,22,430,224,501
Madhya Pradesh,10226,1199,309,11824,1053,104,214,1383,1021,2816,2019,817,*,460,134,986,1190,126,126,185,185,685,685,509,509
Maharashtra,10668,1828,364,21753,2951,485,107,1825,1436,2698,2019,1962,*,739,*,159,713,32,174,247,149,544,533,669,610
Manipur,490,90,23,1044,208,3,56,161,75,430,2019,*,*,*,*,20,64,1,8,*,*,*,*,2,*
Meghalaya,477,118,28,1173,149,4,18,171,174,751,2019,*,*,*,*,1,108,*,4,*,*,*,*,*,*
Mizoram,370,59,9,699,60,0,5,56,86,205,2019,,22,,*,,36,,1,,24,,*,,*
Nagaland,433,126,21,1008,133,8,3,117,96,381,2019,*,*,*,10,*,75,0,18,0,19,0,8,0,*
Odisha,6688,1288,377,9187,813,236,66,1778,632,2568,2019,*,*,461,461,1169,1195,64,314,174,*,*,954,*,1423
Punjab,2950,416,89,4530,562,93,139,722,551,1806,2019,788,*,194,36,346,433,27,23,223,*,244,42,734,*
Rajasthan,13512,2082,571,15425,1932,455,343,1224,1893,8889,2019,3024,657,325,249,938,1754,335,219,858,1532,950,663,2236,*
Sikkim,176,29,2,260,41,0,4,15,35,73,2019,*,*,14,*,2,6,*,*,2,13,*,*,5,*
Tamil Nadu,8713,1422,385,9983,1777,179,92,2043,1064,5888,2019,1523,*,268,*,91,1312,91,241,238,220,707,640,1173,*
Telangana,4744,636,85,7932,1213,258,44,442,647,2097,2019,1053,*,41,*,367,82,55,41,233,279,126,74,336,*
Tripura,972,108,18,664,216,2,11,163,120,636,2019,N App,389,N App,*,N App,87,N App,9,N App,*,N App,*,N App,*
Uttarakhand,1847,257,67,1825,269,27,5,304,63,329,2019,197,90,130,*,204,192,13,47,8,*,75,252,149,406
Uttar Pradesh,20782,2936,679,29082,3180,484,82,2883,963,18504,2019,3885,67,819,121,1355,2028,213,522,58,*,640,1779,2349,449
West Bengal,10357,908,348,18997,810,71,182,1411,785,5811,2019,647,*,292,*,781,751,121,186,89,*,384,544,831,*
A& N Islands,124,22,4,336,34,0,0,49,19,193,2019,*,*,*,*,,15,0,0,*,*,*,1,*,*
Chandigarh,0,0,0,0,0,0,0,0,0,0,2019,N App,N App,N App,N App,N App,N App,,N App,N App,N App,N App,N App,N App,N App
Dadra & Nagar Haveli,71,9,2,137,12,0,2,14,17,51,2019,,,,,,,,,,,,,,
Daman & Diu,23,4,0,52,3,0,0,4,4,11,2019,,,,,,,,,,,,,,
Delhi,12,5,0,24,5,0,0,4,2,0,2019,*,*,1,*,N App,N App,,N App,0,1,1,4,0,*
Jammu & Kashmir,3025,622,84,4908,919,242,226,1235,901,1513,2019,489,*,537,*,91,78,57,*,231,*,122,118,430,77
Ladakh,-,-,-,-,-,-,-,-,-,-,2019,*,*,13,22,6,23,2,3,2,17,2,19,*,44
Lakshadweep,14,4,3,47,8,0,5,16,13,54,2019,0,*,0,*,0,4,0,*,0,*,0,*,0,*
Puducherry,54,24,2,128,41,1,3,46,26,182,2019,1,*,0,*,1,12,0,0,*,*,2,*,*,*
All India Total,157411,24855,5335,234220,29799,3881,2419,26204,18715,80976,2019,33618,3647,8638,1704,8401,15775,1700,2884,5648,5635,7243,10453,15335,7235
